Date,Price,Open,High,Low,Vol.,Change %
2018-11-07,12700.0,12250.0,12800.0,12150.0,11.33M,3.67%
2018-11-08,12600.0,12950.0,12950.0,12600.0,3.12M,-0.79%
2018-11-09,12350.0,12550.0,12650.0,12350.0,3.51M,-1.98%
2018-11-12,12200.0,12200.0,12350.0,12050.0,4.62M,-1.21%
2018-11-13,12000.0,12000.0,12200.0,11950.0,5.03M,-1.64%
2018-11-14,11950.0,12000.0,12200.0,11950.0,3.23M,-0.42%
2018-11-15,12000.0,12000.0,12050.0,11850.0,3.88M,0.42%
2018-11-16,12100.0,12100.0,12250.0,12000.0,3.93M,0.83%
2018-11-19,12300.0,12250.0,12350.0,12100.0,3.05M,1.65%
2018-11-20,12200.0,12250.0,12300.0,12150.0,2.69M,-0.81%
2018-11-21,12250.0,12050.0,12250.0,12050.0,2.55M,0.41%
2018-11-22,12400.0,12300.0,12450.0,12250.0,4.90M,1.22%
2018-11-23,12250.0,12300.0,12400.0,12250.0,2.13M,-1.21%
2018-11-26,12300.0,12250.0,12300.0,12150.0,1.56M,0.41%
2018-11-27,12150.0,12300.0,12400.0,12150.0,2.87M,-1.22%
2018-11-28,12250.0,12100.0,12250.0,12100.0,1.97M,0.82%
2018-11-29,12150.0,12300.0,12350.0,12150.0,3.19M,-0.82%
2018-11-30,12150.0,12150.0,12250.0,12100.0,2.72M,0.00%
2018-12-03,12800.0,12400.0,12800.0,12300.0,10.67M,5.35%
2018-12-04,12800.0,12800.0,12900.0,12650.0,5.84M,0.00%
2018-12-05,12700.0,12550.0,12850.0,12550.0,6.62M,-0.78%
2018-12-06,12600.0,12650.0,12750.0,12550.0,4.74M,-0.79%
2018-12-07,12650.0,12650.0,12850.0,12600.0,5.04M,0.40%
2018-12-10,12500.0,12600.0,12600.0,12450.0,4.48M,-1.19%
2018-12-11,12500.0,12550.0,12600.0,12450.0,2.97M,0.00%
2018-12-12,12700.0,12500.0,12750.0,12500.0,2.71M,1.60%
2018-12-13,12900.0,12800.0,13100.0,12750.0,8.93M,1.57%
2018-12-14,12800.0,12900.0,13000.0,12700.0,3.74M,-0.78%
2018-12-17,12500.0,12650.0,12700.0,12500.0,3.97M,-2.34%
2018-12-18,12400.0,12300.0,12450.0,12200.0,5.28M,-0.80%
2018-12-19,12450.0,12450.0,12450.0,12200.0,3.15M,0.40%
2018-12-20,12250.0,12300.0,12400.0,12200.0,3.41M,-1.61%
2018-12-21,12100.0,12150.0,12300.0,12100.0,3.67M,-1.22%
2018-12-24,12150.0,12300.0,12450.0,12150.0,3.32M,0.41%
2018-12-25,11950.0,12000.0,12100.0,11700.0,6.73M,-1.65%
2018-12-26,11950.0,12000.0,12150.0,11950.0,2.47M,0.00%
2018-12-27,12000.0,12200.0,12250.0,12000.0,2.09M,0.42%
2018-12-28,11950.0,12000.0,12150.0,11950.0,2.11M,-0.42%
2019-01-02,11600.0,12000.0,12050.0,11600.0,3.86M,-2.93%
2019-01-03,11100.0,11500.0,11650.0,11100.0,6.28M,-4.31%
2019-01-04,11150.0,11000.0,11350.0,10900.0,3.83M,0.45%
2019-01-07,11500.0,11400.0,11600.0,11350.0,3.70M,3.14%
2019-01-08,11350.0,11500.0,11500.0,11300.0,1.57M,-1.30%
2019-01-09,11400.0,11400.0,11550.0,11400.0,2.63M,0.44%
2019-01-10,11400.0,11500.0,11500.0,11350.0,2.07M,0.00%
2019-01-11,11400.0,11450.0,11500.0,11300.0,2.17M,0.00%
2019-01-14,11200.0,11400.0,11450.0,11200.0,1.93M,-1.75%
2019-01-15,11300.0,11250.0,11350.0,11200.0,2.16M,0.89%
2019-01-16,11300.0,11400.0,11450.0,11300.0,2.68M,0.00%
2019-01-17,11200.0,11200.0,11400.0,11150.0,1.74M,-0.88%
2019-01-18,11250.0,11250.0,11300.0,11050.0,2.62M,0.45%
2019-01-21,11700.0,11350.0,11850.0,11250.0,6.69M,4.00%
2019-01-22,11750.0,11850.0,11850.0,11700.0,4.05M,0.43%
2019-01-23,12150.0,11750.0,12250.0,11700.0,7.82M,3.40%
2019-01-24,12200.0,12100.0,12200.0,12000.0,3.75M,0.41%
2019-01-25,12300.0,12200.0,12400.0,12150.0,6.42M,0.82%
2019-01-28,12250.0,12350.0,12350.0,12100.0,2.70M,-0.41%
2019-01-29,12150.0,12200.0,12200.0,12050.0,2.87M,-0.82%
2019-01-30,12000.0,12150.0,12200.0,12000.0,2.49M,-1.23%
2019-01-31,12300.0,12100.0,12400.0,12000.0,5.06M,2.50%
2019-02-01,12400.0,12300.0,12400.0,12200.0,3.35M,0.81%
2019-02-11,12950.0,12500.0,12950.0,12450.0,6.86M,4.44%
2019-02-12,13000.0,12850.0,13100.0,12800.0,6.46M,0.39%
2019-02-13,13000.0,13000.0,13100.0,12950.0,6.89M,0.00%
2019-02-14,12950.0,12900.0,13050.0,12900.0,4.82M,-0.38%
2019-02-15,13000.0,12900.0,13050.0,12750.0,4.51M,0.39%
2019-02-18,13100.0,13050.0,13200.0,12950.0,3.71M,0.77%
2019-02-19,12800.0,13150.0,13150.0,12800.0,5.25M,-2.29%
2019-02-20,12900.0,12850.0,13050.0,12700.0,5.45M,0.78%
2019-02-21,13000.0,12950.0,13000.0,12800.0,4.12M,0.78%
2019-02-22,13050.0,12800.0,13150.0,12800.0,5.73M,0.38%
2019-02-25,12900.0,13100.0,13150.0,12900.0,6.90M,-1.15%
2019-02-26,12800.0,12900.0,12950.0,12700.0,3.76M,-0.78%
2019-02-27,12700.0,12800.0,12900.0,12700.0,2.41M,-0.78%
2019-02-28,12300.0,12750.0,12850.0,12300.0,8.44M,-3.15%
2019-03-01,12650.0,12500.0,12650.0,12450.0,2.60M,2.85%
2019-03-04,12750.0,12750.0,12800.0,12650.0,3.06M,0.79%
2019-03-05,12700.0,12750.0,12900.0,12650.0,4.73M,-0.39%
2019-03-06,12650.0,12700.0,12750.0,12600.0,2.02M,-0.39%
2019-03-07,12800.0,12650.0,12900.0,12650.0,3.50M,1.19%
2019-03-08,12600.0,12700.0,12750.0,12550.0,2.90M,-1.56%
2019-03-11,12550.0,12600.0,12650.0,12450.0,2.11M,-0.40%
2019-03-12,12700.0,12600.0,12700.0,12500.0,3.78M,1.20%
2019-03-13,12800.0,12750.0,12950.0,12750.0,6.15M,0.79%
2019-03-14,13000.0,12850.0,13150.0,12750.0,8.48M,1.56%
2019-03-15,12950.0,13000.0,13050.0,12850.0,4.40M,-0.38%
2019-03-18,12850.0,12950.0,13050.0,12850.0,3.31M,-0.77%
2019-03-19,12700.0,12800.0,12900.0,12700.0,4.34M,-1.17%
2019-03-20,12800.0,12650.0,12850.0,12650.0,4.22M,0.79%
2019-03-21,12500.0,12850.0,12900.0,12500.0,4.74M,-2.34%
2019-03-22,12550.0,12600.0,12650.0,12450.0,3.00M,0.40%
2019-03-25,12250.0,12300.0,12450.0,12150.0,3.93M,-2.39%
2019-03-26,12300.0,12300.0,12450.0,12300.0,1.68M,0.41%
2019-03-27,12350.0,12350.0,12400.0,12300.0,1.24M,0.41%
2019-03-28,12150.0,12300.0,12300.0,12150.0,4.03M,-1.62%
2019-03-29,12200.0,12200.0,12350.0,12150.0,3.43M,0.41%
2019-04-01,12400.0,12200.0,12400.0,12200.0,1.69M,1.64%
2019-04-02,12200.0,12450.0,12500.0,12200.0,1.83M,-1.61%
2019-04-03,12250.0,12200.0,12300.0,12150.0,1.43M,0.41%
2019-04-04,12300.0,12300.0,12300.0,12200.0,1.09M,0.41%
2019-04-05,12250.0,12300.0,12300.0,12200.0,1.14M,-0.41%
2019-04-08,12250.0,12250.0,12300.0,12150.0,1.88M,0.00%
2019-04-09,12250.0,12300.0,12350.0,12200.0,2.72M,0.00%
2019-04-10,12100.0,12200.0,12250.0,12050.0,1.97M,-1.22%
2019-04-11,12050.0,12200.0,12200.0,12050.0,788.76K,-0.41%
2019-04-12,12100.0,12050.0,12150.0,12050.0,1.54M,0.41%
2019-04-16,12050.0,12000.0,12150.0,11850.0,3.05M,-0.41%
2019-04-17,11900.0,12150.0,12200.0,11900.0,1.71M,-1.24%
2019-04-18,11750.0,12000.0,12000.0,11750.0,2.44M,-1.26%
2019-04-19,11750.0,11800.0,11900.0,11750.0,1.65M,0.00%
2019-04-22,11550.0,11800.0,11800.0,11550.0,2.43M,-1.70%
2019-04-23,12050.0,11600.0,12200.0,11550.0,4.44M,4.33%
2019-04-24,12050.0,12150.0,12200.0,12050.0,2.01M,0.00%
2019-04-25,11850.0,12050.0,12050.0,11800.0,2.90M,-1.66%
2019-04-26,11950.0,11850.0,12000.0,11850.0,1.50M,0.84%
2019-05-02,11900.0,12100.0,12100.0,11850.0,2.10M,-0.42%
2019-05-03,12350.0,11900.0,12400.0,11900.0,8.68M,3.78%
2019-05-06,12050.0,12200.0,12200.0,12050.0,2.76M,-2.43%
2019-05-07,12100.0,12150.0,12200.0,12050.0,3.87M,0.41%
2019-05-08,12150.0,11950.0,12250.0,11950.0,4.25M,0.41%
2019-05-09,11900.0,12150.0,12200.0,11850.0,6.64M,-2.06%
2019-05-10,12000.0,12000.0,12050.0,11900.0,1.97M,0.84%
2019-05-13,11950.0,11950.0,12050.0,11850.0,1.96M,-0.42%
2019-05-14,11900.0,11850.0,11950.0,11800.0,2.99M,-0.42%
2019-05-15,12050.0,12000.0,12150.0,11950.0,3.04M,1.26%
2019-05-16,12000.0,12150.0,12150.0,11950.0,1.84M,-0.41%
2019-05-17,11950.0,11950.0,12050.0,11950.0,1.82M,-0.42%
2019-05-20,11950.0,12000.0,12050.0,11900.0,2.87M,0.00%
2019-05-21,12050.0,12000.0,12200.0,11950.0,5.45M,0.84%
2019-05-22,12050.0,12150.0,12200.0,12000.0,4.45M,0.00%
2019-05-23,12000.0,12050.0,12150.0,11950.0,1.87M,-0.41%
2019-05-24,11800.0,11900.0,11950.0,11750.0,6.04M,-1.67%
2019-05-27,11800.0,11800.0,11900.0,11750.0,1.26M,0.00%
2019-05-28,11800.0,11850.0,11950.0,11750.0,2.31M,0.00%
2019-05-29,11750.0,11850.0,11850.0,11750.0,1.77M,-0.42%
2019-05-30,11800.0,11750.0,11900.0,11700.0,2.10M,0.43%
2019-05-31,11750.0,11750.0,11900.0,11700.0,1.93M,-0.42%
2019-06-03,11600.0,11700.0,11750.0,11500.0,3.85M,-1.28%
2019-06-04,11600.0,11650.0,11700.0,11550.0,2.44M,0.00%
2019-06-05,11650.0,11700.0,11800.0,11650.0,2.40M,0.43%
2019-06-06,11550.0,11650.0,11700.0,11550.0,1.90M,-0.86%
2019-06-07,11750.0,11600.0,11750.0,11600.0,1.43M,1.73%
